Rank,Publication name,Country,City,State (US only)
1,Mayo Clinic - Rochester,United States,Rochester,MN
2,Cleveland Clinic,United States,Cleveland,OH
3,Massachusetts General Hospital,United States,Boston,MA
4,The Johns Hopkins Hospital,United States,Baltimore,MD
5,Toronto General - University Health Network,Canada,Toronto,""
6,Karolinska Universitetssjukhuset,Sweden,Solna,""
7,Charité - Universitätsmedizin Berlin,Germany,Berlin,""
8,AP-HP - Hôpital Universitaire Pitié Salpêtrière,France,Paris,""
9,Singapore General Hospital,Singapore,Singapore,""
10,UCLA Health - Ronald Reagan Medical Center,United States,Los Angeles,CA
11,Sheba Medical Center,Israel,Ramat Gan,""
12,Universitätsspital Zürich,Switzerland,Zürich,""
13,Universitätsklinikum Heidelberg,Germany,Heidelberg,""
14,Centre Hospitalier Universitaire Vaudois,Switzerland,Lausanne,""
15,Universitätsspital Basel,Switzerland,Basel,""
16,Stanford Health Care - Stanford Hospital,United States,Stanford,CA
17,The University of Tokyo Hospital,Japan,Tokyo,""
18,Brigham And Women's Hospital,United States,Boston,MA
19,AP-HP - Hôpital Européen Georges Pompidou,France,Paris,""
20,Klinikum rechts der Isar der Technischen Universität München,Germany,München,""
21,Northwestern Memorial Hospital,United States,Chicago,IL
22,Sunnybrook Health Sciences Centre,Canada,Toronto,""
23,The Mount Sinai Hospital,United States,New York,NY
24,Aarhus Universitetshospital,Denmark,Aarhus,""
25,New York-Presbyterian Hospital-Columbia and Cornell,United States,New York,NY
26,Mount Sinai Hospital,Canada,Toronto,""
27,Rigshospitalet - København,Denmark,København,""
28,St. Luke's International Hospital,Japan,Tokyo,""
29,Asan Medical Center,South Korea,Seoul,""
30,Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Austria,Wien,""
31,LMU Klinikum,Germany,München,""
32,Medizinische Hochschule Hannover,Germany,Hannover,""
33,University of Michigan Hospitals - Michigan Medicine,United States,Ann Arbor,MI
34,Hospital Israelita Albert Einstein,Brazil,Sao Paulo,""
35,Cedars-Sinai Medical Center,United States,Los Angeles,CA
36,Amsterdam UMC,The Netherlands,Amsterdam,""
37,Oslo Universitetssykehus,Norway,Oslo,""
38,Policlinico Universitario A. Gemelli,Italy,Roma,""
